Date : 2024-05-20 01:15:49
Directory : /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal
Total : 56 files,  9057 codes, 0 comments, 1551 blanks, all 10608 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         54 |      9,015 |          0 |      1,536 |     10,551 |
| Protocol Buffers |          2 |         42 |          0 |         15 |         57 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         56 |      9,057 |          0 |      1,551 |     10,608 |
| auth                                                                                           |         17 |      3,834 |          0 |        634 |      4,468 |
| auth (Files)                                                                                   |          2 |        144 |          0 |         23 |        167 |
| auth/delivery                                                                                  |          2 |        466 |          0 |         61 |        527 |
| auth/mocks                                                                                     |          1 |        267 |          0 |         48 |        315 |
| auth/proto                                                                                     |          3 |        558 |          0 |         81 |        639 |
| auth/repo                                                                                      |          5 |        941 |          0 |        218 |      1,159 |
| auth/usecase                                                                                   |          4 |      1,458 |          0 |        203 |      1,661 |
| cmd                                                                                            |          3 |        341 |          0 |         79 |        420 |
| cmd/auth                                                                                       |          1 |        149 |          0 |         34 |        183 |
| cmd/feed                                                                                       |          1 |        126 |          0 |         33 |        159 |
| cmd/images                                                                                     |          1 |         66 |          0 |         12 |         78 |
| docs                                                                                           |          1 |        673 |          0 |          5 |        678 |
| feed                                                                                           |         16 |      2,734 |          0 |        529 |      3,263 |
| feed (Files)                                                                                   |          2 |        158 |          0 |         20 |        178 |
| feed/delivery                                                                                  |          1 |        282 |          0 |         39 |        321 |
| feed/mocks                                                                                     |          1 |        250 |          0 |         44 |        294 |
| feed/repo                                                                                      |          8 |      1,345 |          0 |        307 |      1,652 |
| feed/usecase                                                                                   |          4 |        699 |          0 |        119 |        818 |
| image                                                                                          |         12 |      1,240 |          0 |        253 |      1,493 |
| image (Files)                                                                                  |          2 |         43 |          0 |          8 |         51 |
| image/delivery                                                                                 |          2 |        213 |          0 |         46 |        259 |
| image/delivery/grpc                                                                            |          1 |         27 |          0 |          6 |         33 |
| image/delivery/http                                                                            |          1 |        186 |          0 |         40 |        226 |
| image/mocks                                                                                    |          1 |         76 |          0 |         16 |         92 |
| image/protos                                                                                   |          3 |        311 |          0 |         51 |        362 |
| image/protos/gen                                                                               |          2 |        296 |          0 |         44 |        340 |
| image/protos/proto                                                                             |          1 |         15 |          0 |          7 |         22 |
| image/repo                                                                                     |          2 |        354 |          0 |         84 |        438 |
| image/usecase                                                                                  |          2 |        243 |          0 |         48 |        291 |
| logs                                                                                           |          1 |         21 |          0 |          6 |         27 |
| pkg                                                                                            |          4 |        202 |          0 |         38 |        240 |
| types                                                                                          |          2 |         12 |          0 |          7 |         19 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/auth_models.go               | Go               |        101 |          0 |         16 |        117 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/delivery/grpc.go             | Go               |         48 |          0 |          7 |         55 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/delivery/http.go             | Go               |        418 |          0 |         54 |        472 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/interfaces.go                | Go               |         43 |          0 |          7 |         50 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/mocks/core_mocks.go          | Go               |        267 |          0 |         48 |        315 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/proto/auth.pb.go             | Go               |        402 |          0 |         55 |        457 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/proto/auth.proto             | Protocol Buffers |         27 |          0 |          8 |         35 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/proto/auth_grpc.pb.go        | Go               |        129 |          0 |         18 |        147 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/repo/image.go                | Go               |         44 |          0 |         11 |         55 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/repo/interest.go             | Go               |        138 |          0 |         27 |        165 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/repo/person.go               | Go               |        191 |          0 |         35 |        226 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/repo/repo_test.go            | Go               |        520 |          0 |        135 |        655 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/repo/session.go              | Go               |         48 |          0 |         10 |         58 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/usecase/profile.go           | Go               |        123 |          0 |         24 |        147 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/usecase/profile_test.go      | Go               |        539 |          0 |         58 |        597 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/usecase/usecase.go           | Go               |        167 |          0 |         32 |        199 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/auth/usecase/usecase_test.go      | Go               |        629 |          0 |         89 |        718 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/cmd/auth/main.go                  | Go               |        149 |          0 |         34 |        183 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/cmd/feed/main.go                  | Go               |        126 |          0 |         33 |        159 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/cmd/images/main.go                | Go               |         66 |          0 |         12 |         78 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/docs/docs.go                      | Go               |        673 |          0 |          5 |        678 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/delivery/http.go             | Go               |        282 |          0 |         39 |        321 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/feed_models.go               | Go               |        117 |          0 |         14 |        131 |
